task_id,source_model_path,output_model_path,source_cost,output_cost,cost_delta,source_file_size_bytes,output_file_size_bytes,file_size_delta,source_initializer_count,output_initializer_count,zero_initializers_replaced,zero_initializer_elements_replaced
task156,outputs\reference_6275_flat\task156.onnx,outputs\candidates\ref6275_zero_initializer_compressed\task156_ZeroInitializerCompression.onnx,5888,5888,0,48746,48746,0,73,73,0,0
task157,outputs\reference_6275_flat\task157.onnx,outputs\candidates\ref6275_zero_initializer_compressed\task157_ZeroInitializerCompression.onnx,1887,1887,0,151146,151146,0,67,67,0,0
task158,outputs\reference_6275_flat\task158.onnx,outputs\candidates\ref6275_zero_initializer_compressed\task158_ZeroInitializerCompression.onnx,2147,2147,0,33661,33661,0,56,56,0,0
task159,outputs\reference_6275_flat\task159.onnx,outputs\candidates\ref6275_zero_initializer_compressed\task159_ZeroInitializerCompression.onnx,12549,12549,0,12822,12822,0,16,16,0,0
task160,outputs\reference_6275_flat\task160.onnx,outputs\candidates\ref6275_zero_initializer_compressed\task160_ZeroInitializerCompression.onnx,363,363,0,2171,2171,0,10,10,0,0
task161,outputs\reference_6275_flat\task161.onnx,outputs\candidates\ref6275_zero_initializer_compressed\task161_ZeroInitializerCompression.onnx,240,240,0,4323,4323,0,9,9,0,0
task162,outputs\reference_6275_flat\task162.onnx,outputs\candidates\ref6275_zero_initializer_compressed\task162_ZeroInitializerCompression.onnx,183,183,0,2268,2268,0,11,11,0,0
task163,outputs\reference_6275_flat\task163.onnx,outputs\candidates\ref6275_zero_initializer_compressed\task163_ZeroInitializerCompression.onnx,6681,6681,0,11364,11364,0,21,21,0,0
task164,outputs\reference_6275_flat\task164.onnx,outputs\candidates\ref6275_zero_initializer_compressed\task164_ZeroInitializerCompression.onnx,270,270,0,479,479,0,1,1,0,0
task165,outputs\reference_6275_flat\task165.onnx,outputs\candidates\ref6275_zero_initializer_compressed\task165_ZeroInitializerCompression.onnx,3162,3162,0,5614,5614,0,15,15,0,0
task166,outputs\reference_6275_flat\task166.onnx,outputs\candidates\ref6275_zero_initializer_compressed\task166_ZeroInitializerCompression.onnx,267,267,0,1318,1318,0,8,8,0,0
task167,outputs\reference_6275_flat\task167.onnx,outputs\candidates\ref6275_zero_initializer_compressed\task167_ZeroInitializerCompression.onnx,1020,1020,0,1673,1673,0,9,9,0,0
task168,outputs\reference_6275_flat\task168.onnx,outputs\candidates\ref6275_zero_initializer_compressed\task168_ZeroInitializerCompression.onnx,675,675,0,4620,4620,0,10,10,0,0
task169,outputs\reference_6275_flat\task169.onnx,outputs\candidates\ref6275_zero_initializer_compressed\task169_ZeroInitializerCompression.onnx,2133,2133,0,20785,20785,0,62,62,0,0
task170,outputs\reference_6275_flat\task170.onnx,outputs\candidates\ref6275_zero_initializer_compressed\task170_ZeroInitializerCompression.onnx,1425,1425,0,50577,50577,0,33,33,0,0
task171,outputs\reference_6275_flat\task171.onnx,outputs\candidates\ref6275_zero_initializer_compressed\task171_ZeroInitializerCompression.onnx,4550,4550,0,3825,3825,0,2,2,0,0
task172,outputs\reference_6275_flat\task172.onnx,outputs\candidates\ref6275_zero_initializer_compressed\task172_ZeroInitializerCompression.onnx,270,270,0,479,479,0,1,1,0,0
task173,outputs\reference_6275_flat\task173.onnx,outputs\candidates\ref6275_zero_initializer_compressed\task173_ZeroInitializerCompression.onnx,753,753,0,10061,10061,0,24,24,0,0
task174,outputs\reference_6275_flat\task174.onnx,outputs\candidates\ref6275_zero_initializer_compressed\task174_ZeroInitializerCompression.onnx,614,614,0,61839,61839,0,24,24,0,0
task175,outputs\reference_6275_flat\task175.onnx,outputs\candidates\ref6275_zero_initializer_compressed\task175_ZeroInitializerCompression.onnx,13677,13677,0,12317,12317,0,13,13,0,0
task176,outputs\reference_6275_flat\task176.onnx,outputs\candidates\ref6275_zero_initializer_compressed\task176_ZeroInitializerCompression.onnx,504,504,0,1126,1126,0,9,9,0,0
task177,outputs\reference_6275_flat\task177.onnx,outputs\candidates\ref6275_zero_initializer_compressed\task177_ZeroInitializerCompression.onnx,912,912,0,3189,3189,0,16,16,0,0
task178,outputs\reference_6275_flat\task178.onnx,outputs\candidates\ref6275_zero_initializer_compressed\task178_ZeroInitializerCompression.onnx,755,755,0,6317,6317,0,20,20,0,0
task179,outputs\reference_6275_flat\task179.onnx,outputs\candidates\ref6275_zero_initializer_compressed\task179_ZeroInitializerCompression.onnx,0,0,0,170,170,0,0,0,0,0
task180,outputs\reference_6275_flat\task180.onnx,outputs\candidates\ref6275_zero_initializer_compressed\task180_ZeroInitializerCompression.onnx,2838,2838,0,2525,2525,0,5,5,0,0
task181,outputs\reference_6275_flat\task181.onnx,outputs\candidates\ref6275_zero_initializer_compressed\task181_ZeroInitializerCompression.onnx,672,672,0,3083,3083,0,21,21,0,0
task182,outputs\reference_6275_flat\task182.onnx,outputs\candidates\ref6275_zero_initializer_compressed\task182_ZeroInitializerCompression.onnx,3574,3574,0,19158,19158,0,40,40,0,0
task183,outputs\reference_6275_flat\task183.onnx,outputs\candidates\ref6275_zero_initializer_compressed\task183_ZeroInitializerCompression.onnx,200,200,0,4662,4662,0,8,8,0,0
task184,outputs\reference_6275_flat\task184.onnx,outputs\candidates\ref6275_zero_initializer_compressed\task184_ZeroInitializerCompression.onnx,48350,3386,-44964,43202,7341,-35861,20,20,1,9000
task185,outputs\reference_6275_flat\task185.onnx,outputs\candidates\ref6275_zero_initializer_compressed\task185_ZeroInitializerCompression.onnx,595,595,0,18881,18881,0,19,19,0,0
task186,outputs\reference_6275_flat\task186.onnx,outputs\candidates\ref6275_zero_initializer_compressed\task186_ZeroInitializerCompression.onnx,192,192,0,924,924,0,5,5,0,0
task187,outputs\reference_6275_flat\task187.onnx,outputs\candidates\ref6275_zero_initializer_compressed\task187_ZeroInitializerCompression.onnx,1894,1894,0,9705,9705,0,13,13,0,0
task188,outputs\reference_6275_flat\task188.onnx,outputs\candidates\ref6275_zero_initializer_compressed\task188_ZeroInitializerCompression.onnx,312,312,0,3259,3259,0,15,15,0,0
task189,outputs\reference_6275_flat\task189.onnx,outputs\candidates\ref6275_zero_initializer_compressed\task189_ZeroInitializerCompression.onnx,1449,1449,0,10578,10578,0,54,54,0,0
task190,outputs\reference_6275_flat\task190.onnx,outputs\candidates\ref6275_zero_initializer_compressed\task190_ZeroInitializerCompression.onnx,1538,1538,0,8781,8781,0,40,40,0,0
task191,outputs\reference_6275_flat\task191.onnx,outputs\candidates\ref6275_zero_initializer_compressed\task191_ZeroInitializerCompression.onnx,3831,3831,0,10881,10881,0,28,28,0,0
task192,outputs\reference_6275_flat\task192.onnx,outputs\candidates\ref6275_zero_initializer_compressed\task192_ZeroInitializerCompression.onnx,436,436,0,2089,2089,0,10,10,0,0
task193,outputs\reference_6275_flat\task193.onnx,outputs\candidates\ref6275_zero_initializer_compressed\task193_ZeroInitializerCompression.onnx,327,327,0,1925,1925,0,12,12,0,0
task194,outputs\reference_6275_flat\task194.onnx,outputs\candidates\ref6275_zero_initializer_compressed\task194_ZeroInitializerCompression.onnx,9000,9000,0,7454,7454,0,1,1,0,0
task195,outputs\reference_6275_flat\task195.onnx,outputs\candidates\ref6275_zero_initializer_compressed\task195_ZeroInitializerCompression.onnx,4073,2309,-1764,5381,4640,-741,10,10,1,900
task196,outputs\reference_6275_flat\task196.onnx,outputs\candidates\ref6275_zero_initializer_compressed\task196_ZeroInitializerCompression.onnx,342,342,0,3491,3491,0,13,13,0,0
task197,outputs\reference_6275_flat\task197.onnx,outputs\candidates\ref6275_zero_initializer_compressed\task197_ZeroInitializerCompression.onnx,66,66,0,1223,1223,0,7,7,0,0
task198,outputs\reference_6275_flat\task198.onnx,outputs\candidates\ref6275_zero_initializer_compressed\task198_ZeroInitializerCompression.onnx,2799,135,-2664,6979,5322,-1657,14,14,1,900
task199,outputs\reference_6275_flat\task199.onnx,outputs\candidates\ref6275_zero_initializer_compressed\task199_ZeroInitializerCompression.onnx,378,378,0,2948,2948,0,14,14,0,0
task200,outputs\reference_6275_flat\task200.onnx,outputs\candidates\ref6275_zero_initializer_compressed\task200_ZeroInitializerCompression.onnx,326,326,0,3848,3848,0,17,17,0,0
task201,outputs\reference_6275_flat\task201.onnx,outputs\candidates\ref6275_zero_initializer_compressed\task201_ZeroInitializerCompression.onnx,1374,1374,0,9668,9668,0,20,20,0,0
task202,outputs\reference_6275_flat\task202.onnx,outputs\candidates\ref6275_zero_initializer_compressed\task202_ZeroInitializerCompression.onnx,50,50,0,3582,3582,0,5,5,0,0
task203,outputs\reference_6275_flat\task203.onnx,outputs\candidates\ref6275_zero_initializer_compressed\task203_ZeroInitializerCompression.onnx,484,484,0,2814,2814,0,15,15,0,0
task204,outputs\reference_6275_flat\task204.onnx,outputs\candidates\ref6275_zero_initializer_compressed\task204_ZeroInitializerCompression.onnx,3563,2799,-764,7250,6981,-269,21,21,1,400
task205,outputs\reference_6275_flat\task205.onnx,outputs\candidates\ref6275_zero_initializer_compressed\task205_ZeroInitializerCompression.onnx,5466,5466,0,33601,33601,0,76,76,0,0
task206,outputs\reference_6275_flat\task206.onnx,outputs\candidates\ref6275_zero_initializer_compressed\task206_ZeroInitializerCompression.onnx,362,362,0,4022,4022,0,15,15,0,0
task207,outputs\reference_6275_flat\task207.onnx,outputs\candidates\ref6275_zero_initializer_compressed\task207_ZeroInitializerCompression.onnx,303,303,0,1979,1979,0,15,15,0,0
task208,outputs\reference_6275_flat\task208.onnx,outputs\candidates\ref6275_zero_initializer_compressed\task208_ZeroInitializerCompression.onnx,1806,1806,0,15747,15747,0,39,39,0,0
task209,outputs\reference_6275_flat\task209.onnx,outputs\candidates\ref6275_zero_initializer_compressed\task209_ZeroInitializerCompression.onnx,875,875,0,12354,12354,0,26,26,0,0
task210,outputs\reference_6275_flat\task210.onnx,outputs\candidates\ref6275_zero_initializer_compressed\task210_ZeroInitializerCompression.onnx,270,270,0,479,479,0,1,1,0,0
task211,outputs\reference_6275_flat\task211.onnx,outputs\candidates\ref6275_zero_initializer_compressed\task211_ZeroInitializerCompression.onnx,9000,9000,0,7454,7454,0,1,1,0,0
task212,outputs\reference_6275_flat\task212.onnx,outputs\candidates\ref6275_zero_initializer_compressed\task212_ZeroInitializerCompression.onnx,618,354,-264,5951,5882,-69,16,16,1,100
task213,outputs\reference_6275_flat\task213.onnx,outputs\candidates\ref6275_zero_initializer_compressed\task213_ZeroInitializerCompression.onnx,960,960,0,26793,26793,0,25,25,0,0
task214,outputs\reference_6275_flat\task214.onnx,outputs\candidates\ref6275_zero_initializer_compressed\task214_ZeroInitializerCompression.onnx,9000,9000,0,7454,7454,0,1,1,0,0
task215,outputs\reference_6275_flat\task215.onnx,outputs\candidates\ref6275_zero_initializer_compressed\task215_ZeroInitializerCompression.onnx,356,356,0,1729,1729,0,7,7,0,0
task216,outputs\reference_6275_flat\task216.onnx,outputs\candidates\ref6275_zero_initializer_compressed\task216_ZeroInitializerCompression.onnx,888,888,0,11027,11027,0,10,10,0,0
task217,outputs\reference_6275_flat\task217.onnx,outputs\candidates\ref6275_zero_initializer_compressed\task217_ZeroInitializerCompression.onnx,203,203,0,1350,1350,0,5,5,0,0
task218,outputs\reference_6275_flat\task218.onnx,outputs\candidates\ref6275_zero_initializer_compressed\task218_ZeroInitializerCompression.onnx,328,328,0,9594,9594,0,21,21,0,0
task219,outputs\reference_6275_flat\task219.onnx,outputs\candidates\ref6275_zero_initializer_compressed\task219_ZeroInitializerCompression.onnx,745,745,0,28326,28326,0,34,34,0,0
task220,outputs\reference_6275_flat\task220.onnx,outputs\candidates\ref6275_zero_initializer_compressed\task220_ZeroInitializerCompression.onnx,4500,4500,0,3798,3798,0,1,1,0,0
task221,outputs\reference_6275_flat\task221.onnx,outputs\candidates\ref6275_zero_initializer_compressed\task221_ZeroInitializerCompression.onnx,15246,15246,0,13333,13333,0,26,26,0,0
task222,outputs\reference_6275_flat\task222.onnx,outputs\candidates\ref6275_zero_initializer_compressed\task222_ZeroInitializerCompression.onnx,405,405,0,2578,2578,0,11,11,0,0
task223,outputs\reference_6275_flat\task223.onnx,outputs\candidates\ref6275_zero_initializer_compressed\task223_ZeroInitializerCompression.onnx,9000,9000,0,7454,7454,0,1,1,0,0
task224,outputs\reference_6275_flat\task224.onnx,outputs\candidates\ref6275_zero_initializer_compressed\task224_ZeroInitializerCompression.onnx,690,690,0,4703,4703,0,17,17,0,0
task225,outputs\reference_6275_flat\task225.onnx,outputs\candidates\ref6275_zero_initializer_compressed\task225_ZeroInitializerCompression.onnx,2387,2387,0,5688,5688,0,24,24,0,0
task226,outputs\reference_6275_flat\task226.onnx,outputs\candidates\ref6275_zero_initializer_compressed\task226_ZeroInitializerCompression.onnx,621,357,-264,4625,4556,-69,15,15,1,100
task227,outputs\reference_6275_flat\task227.onnx,outputs\candidates\ref6275_zero_initializer_compressed\task227_ZeroInitializerCompression.onnx,297,297,0,1135,1135,0,10,10,0,0
task228,outputs\reference_6275_flat\task228.onnx,outputs\candidates\ref6275_zero_initializer_compressed\task228_ZeroInitializerCompression.onnx,492,492,0,2649,2649,0,15,15,0,0
task229,outputs\reference_6275_flat\task229.onnx,outputs\candidates\ref6275_zero_initializer_compressed\task229_ZeroInitializerCompression.onnx,333,333,0,1379,1379,0,12,12,0,0
task230,outputs\reference_6275_flat\task230.onnx,outputs\candidates\ref6275_zero_initializer_compressed\task230_ZeroInitializerCompression.onnx,4500,4500,0,3798,3798,0,1,1,0,0
task231,outputs\reference_6275_flat\task231.onnx,outputs\candidates\ref6275_zero_initializer_compressed\task231_ZeroInitializerCompression.onnx,837,666,-171,2684,2767,83,12,12,1,20
task232,outputs\reference_6275_flat\task232.onnx,outputs\candidates\ref6275_zero_initializer_compressed\task232_ZeroInitializerCompression.onnx,273,273,0,1616,1616,0,14,14,0,0
task233,outputs\reference_6275_flat\task233.onnx,outputs\candidates\ref6275_zero_initializer_compressed\task233_ZeroInitializerCompression.onnx,6131,6131,0,193251,193251,0,88,88,0,0
task234,outputs\reference_6275_flat\task234.onnx,outputs\candidates\ref6275_zero_initializer_compressed\task234_ZeroInitializerCompression.onnx,348,348,0,4106,4106,0,14,14,0,0
task235,outputs\reference_6275_flat\task235.onnx,outputs\candidates\ref6275_zero_initializer_compressed\task235_ZeroInitializerCompression.onnx,612,612,0,3090,3090,0,19,19,0,0
task236,outputs\reference_6275_flat\task236.onnx,outputs\candidates\ref6275_zero_initializer_compressed\task236_ZeroInitializerCompression.onnx,0,0,0,643,643,0,0,0,0,0
task237,outputs\reference_6275_flat\task237.onnx,outputs\candidates\ref6275_zero_initializer_compressed\task237_ZeroInitializerCompression.onnx,291,291,0,1637,1637,0,11,11,0,0
task238,outputs\reference_6275_flat\task238.onnx,outputs\candidates\ref6275_zero_initializer_compressed\task238_ZeroInitializerCompression.onnx,4467,4467,0,12003,12003,0,38,38,0,0
task239,outputs\reference_6275_flat\task239.onnx,outputs\candidates\ref6275_zero_initializer_compressed\task239_ZeroInitializerCompression.onnx,1284,1230,-54,3146,3219,73,19,19,1,21
task240,outputs\reference_6275_flat\task240.onnx,outputs\candidates\ref6275_zero_initializer_compressed\task240_ZeroInitializerCompression.onnx,78767,78767,0,66169,66169,0,11,11,0,0
task241,outputs\reference_6275_flat\task241.onnx,outputs\candidates\ref6275_zero_initializer_compressed\task241_ZeroInitializerCompression.onnx,0,0,0,170,170,0,0,0,0,0
task242,outputs\reference_6275_flat\task242.onnx,outputs\candidates\ref6275_zero_initializer_compressed\task242_ZeroInitializerCompression.onnx,398,398,0,1736,1736,0,7,7,0,0
task243,outputs\reference_6275_flat\task243.onnx,outputs\candidates\ref6275_zero_initializer_compressed\task243_ZeroInitializerCompression.onnx,906,906,0,16567,16567,0,26,26,0,0
task244,outputs\reference_6275_flat\task244.onnx,outputs\candidates\ref6275_zero_initializer_compressed\task244_ZeroInitializerCompression.onnx,761,761,0,6538,6538,0,31,31,0,0
task245,outputs\reference_6275_flat\task245.onnx,outputs\candidates\ref6275_zero_initializer_compressed\task245_ZeroInitializerCompression.onnx,342,342,0,2751,2751,0,15,15,0,0
task246,outputs\reference_6275_flat\task246.onnx,outputs\candidates\ref6275_zero_initializer_compressed\task246_ZeroInitializerCompression.onnx,1079,315,-764,3824,3571,-253,11,11,1,400
task247,outputs\reference_6275_flat\task247.onnx,outputs\candidates\ref6275_zero_initializer_compressed\task247_ZeroInitializerCompression.onnx,178,178,0,2060,2060,0,7,7,0,0
task248,outputs\reference_6275_flat\task248.onnx,outputs\candidates\ref6275_zero_initializer_compressed\task248_ZeroInitializerCompression.onnx,9100,9100,0,8306,8306,0,6,6,0,0
task249,outputs\reference_6275_flat\task249.onnx,outputs\candidates\ref6275_zero_initializer_compressed\task249_ZeroInitializerCompression.onnx,1092,264,-828,2482,2136,-346,13,13,2,300
task250,outputs\reference_6275_flat\task250.onnx,outputs\candidates\ref6275_zero_initializer_compressed\task250_ZeroInitializerCompression.onnx,371,371,0,12918,12918,0,18,18,0,0
task251,outputs\reference_6275_flat\task251.onnx,outputs\candidates\ref6275_zero_initializer_compressed\task251_ZeroInitializerCompression.onnx,174,174,0,5106,5106,0,13,13,0,0
task252,outputs\reference_6275_flat\task252.onnx,outputs\candidates\ref6275_zero_initializer_compressed\task252_ZeroInitializerCompression.onnx,996,996,0,3201,3201,0,19,19,0,0
task253,outputs\reference_6275_flat\task253.onnx,outputs\candidates\ref6275_zero_initializer_compressed\task253_ZeroInitializerCompression.onnx,2407,2407,0,3510,3510,0,13,13,0,0
task254,outputs\reference_6275_flat\task254.onnx,outputs\candidates\ref6275_zero_initializer_compressed\task254_ZeroInitializerCompression.onnx,918,711,-207,4960,4945,-15,27,27,1,81
task255,outputs\reference_6275_flat\task255.onnx,outputs\candidates\ref6275_zero_initializer_compressed\task255_ZeroInitializerCompression.onnx,372359,372359,0,251348,251348,0,29,29,0,0
task256,outputs\reference_6275_flat\task256.onnx,outputs\candidates\ref6275_zero_initializer_compressed\task256_ZeroInitializerCompression.onnx,339,339,0,4194,4194,0,16,16,0,0
task257,outputs\reference_6275_flat\task257.onnx,outputs\candidates\ref6275_zero_initializer_compressed\task257_ZeroInitializerCompression.onnx,375,363,-12,1369,1470,101,11,11,1,16
task258,outputs\reference_6275_flat\task258.onnx,outputs\candidates\ref6275_zero_initializer_compressed\task258_ZeroInitializerCompression.onnx,800,800,0,880,880,0,2,2,0,0
task259,outputs\reference_6275_flat\task259.onnx,outputs\candidates\ref6275_zero_initializer_compressed\task259_ZeroInitializerCompression.onnx,382,382,0,3882,3882,0,15,15,0,0
task260,outputs\reference_6275_flat\task260.onnx,outputs\candidates\ref6275_zero_initializer_compressed\task260_ZeroInitializerCompression.onnx,525,525,0,3230,3230,0,14,14,0,0
task261,outputs\reference_6275_flat\task261.onnx,outputs\candidates\ref6275_zero_initializer_compressed\task261_ZeroInitializerCompression.onnx,1000,1000,0,995,995,0,1,1,0,0
task262,outputs\reference_6275_flat\task262.onnx,outputs\candidates\ref6275_zero_initializer_compressed\task262_ZeroInitializerCompression.onnx,206,206,0,903,903,0,10,10,0,0
task263,outputs\reference_6275_flat\task263.onnx,outputs\candidates\ref6275_zero_initializer_compressed\task263_ZeroInitializerCompression.onnx,450,450,0,7373,7373,0,27,27,0,0
task264,outputs\reference_6275_flat\task264.onnx,outputs\candidates\ref6275_zero_initializer_compressed\task264_ZeroInitializerCompression.onnx,6570,6570,0,9312,9312,0,17,17,0,0
task265,outputs\reference_6275_flat\task265.onnx,outputs\candidates\ref6275_zero_initializer_compressed\task265_ZeroInitializerCompression.onnx,507,507,0,2076,2076,0,11,11,0,0
task266,outputs\reference_6275_flat\task266.onnx,outputs\candidates\ref6275_zero_initializer_compressed\task266_ZeroInitializerCompression.onnx,4550,4550,0,3825,3825,0,2,2,0,0
task267,outputs\reference_6275_flat\task267.onnx,outputs\candidates\ref6275_zero_initializer_compressed\task267_ZeroInitializerCompression.onnx,315,315,0,1202,1202,0,13,13,0,0
task268,outputs\reference_6275_flat\task268.onnx,outputs\candidates\ref6275_zero_initializer_compressed\task268_ZeroInitializerCompression.onnx,738,738,0,20817,20817,0,29,29,0,0
task269,outputs\reference_6275_flat\task269.onnx,outputs\candidates\ref6275_zero_initializer_compressed\task269_ZeroInitializerCompression.onnx,420,420,0,2336,2336,0,18,18,0,0
task270,outputs\reference_6275_flat\task270.onnx,outputs\candidates\ref6275_zero_initializer_compressed\task270_ZeroInitializerCompression.onnx,4357,3268,-1089,13846,13088,-758,23,23,1,225
task271,outputs\reference_6275_flat\task271.onnx,outputs\candidates\ref6275_zero_initializer_compressed\task271_ZeroInitializerCompression.onnx,439,439,0,1993,1993,0,10,10,0,0
task272,outputs\reference_6275_flat\task272.onnx,outputs\candidates\ref6275_zero_initializer_compressed\task272_ZeroInitializerCompression.onnx,2300,2300,0,2039,2039,0,2,2,0,0
task273,outputs\reference_6275_flat\task273.onnx,outputs\candidates\ref6275_zero_initializer_compressed\task273_ZeroInitializerCompression.onnx,270,270,0,1670,1670,0,13,13,0,0
task274,outputs\reference_6275_flat\task274.onnx,outputs\candidates\ref6275_zero_initializer_compressed\task274_ZeroInitializerCompression.onnx,2057,2057,0,3619,3619,0,11,11,0,0
task275,outputs\reference_6275_flat\task275.onnx,outputs\candidates\ref6275_zero_initializer_compressed\task275_ZeroInitializerCompression.onnx,8733,6069,-2664,16304,14619,-1685,26,26,1,900
task276,outputs\reference_6275_flat\task276.onnx,outputs\candidates\ref6275_zero_initializer_compressed\task276_ZeroInitializerCompression.onnx,90,90,0,217,217,0,1,1,0,0
task277,outputs\reference_6275_flat\task277.onnx,outputs\candidates\ref6275_zero_initializer_compressed\task277_ZeroInitializerCompression.onnx,913,749,-164,6687,6720,33,17,17,1,100
task278,outputs\reference_6275_flat\task278.onnx,outputs\candidates\ref6275_zero_initializer_compressed\task278_ZeroInitializerCompression.onnx,1248,312,-936,2799,2286,-513,12,12,1,324
task279,outputs\reference_6275_flat\task279.onnx,outputs\candidates\ref6275_zero_initializer_compressed\task279_ZeroInitializerCompression.onnx,5271,807,-4464,10314,6852,-3462,10,10,1,900
task280,outputs\reference_6275_flat\task280.onnx,outputs\candidates\ref6275_zero_initializer_compressed\task280_ZeroInitializerCompression.onnx,2862,1698,-1164,15536,14871,-665,16,16,1,400
task281,outputs\reference_6275_flat\task281.onnx,outputs\candidates\ref6275_zero_initializer_compressed\task281_ZeroInitializerCompression.onnx,2499,735,-1764,5479,4738,-741,15,15,1,900
task282,outputs\reference_6275_flat\task282.onnx,outputs\candidates\ref6275_zero_initializer_compressed\task282_ZeroInitializerCompression.onnx,4500,4500,0,3798,3798,0,1,1,0,0
task283,outputs\reference_6275_flat\task283.onnx,outputs\candidates\ref6275_zero_initializer_compressed\task283_ZeroInitializerCompression.onnx,4550,4550,0,3825,3825,0,2,2,0,0
task284,outputs\reference_6275_flat\task284.onnx,outputs\candidates\ref6275_zero_initializer_compressed\task284_ZeroInitializerCompression.onnx,1559,1559,0,9092,9092,0,19,19,0,0
task285,outputs\reference_6275_flat\task285.onnx,outputs\candidates\ref6275_zero_initializer_compressed\task285_ZeroInitializerCompression.onnx,5662,3871,-1791,21633,20873,-760,50,50,1,900
task286,outputs\reference_6275_flat\task286.onnx,outputs\candidates\ref6275_zero_initializer_compressed\task286_ZeroInitializerCompression.onnx,4145,4145,0,13742,13742,0,20,20,0,0
task287,outputs\reference_6275_flat\task287.onnx,outputs\candidates\ref6275_zero_initializer_compressed\task287_ZeroInitializerCompression.onnx,247,247,0,1686,1686,0,13,13,0,0
task288,outputs\reference_6275_flat\task288.onnx,outputs\candidates\ref6275_zero_initializer_compressed\task288_ZeroInitializerCompression.onnx,345,345,0,5948,5948,0,15,15,0,0
task289,outputs\reference_6275_flat\task289.onnx,outputs\candidates\ref6275_zero_initializer_compressed\task289_ZeroInitializerCompression.onnx,420,420,0,2021,2021,0,17,17,0,0
task290,outputs\reference_6275_flat\task290.onnx,outputs\candidates\ref6275_zero_initializer_compressed\task290_ZeroInitializerCompression.onnx,391,391,0,3323,3323,0,14,14,0,0
task291,outputs\reference_6275_flat\task291.onnx,outputs\candidates\ref6275_zero_initializer_compressed\task291_ZeroInitializerCompression.onnx,4731,4731,0,6009,6009,0,9,9,0,0
task292,outputs\reference_6275_flat\task292.onnx,outputs\candidates\ref6275_zero_initializer_compressed\task292_ZeroInitializerCompression.onnx,339,339,0,1065,1065,0,9,9,0,0
task293,outputs\reference_6275_flat\task293.onnx,outputs\candidates\ref6275_zero_initializer_compressed\task293_ZeroInitializerCompression.onnx,597,597,0,4426,4426,0,20,20,0,0
task294,outputs\reference_6275_flat\task294.onnx,outputs\candidates\ref6275_zero_initializer_compressed\task294_ZeroInitializerCompression.onnx,4550,4550,0,3825,3825,0,2,2,0,0
task295,outputs\reference_6275_flat\task295.onnx,outputs\candidates\ref6275_zero_initializer_compressed\task295_ZeroInitializerCompression.onnx,291,291,0,1889,1889,0,11,11,0,0
task296,outputs\reference_6275_flat\task296.onnx,outputs\candidates\ref6275_zero_initializer_compressed\task296_ZeroInitializerCompression.onnx,1837,1837,0,2803,2803,0,11,11,0,0
task297,outputs\reference_6275_flat\task297.onnx,outputs\candidates\ref6275_zero_initializer_compressed\task297_ZeroInitializerCompression.onnx,369,369,0,3233,3233,0,17,17,0,0
task298,outputs\reference_6275_flat\task298.onnx,outputs\candidates\ref6275_zero_initializer_compressed\task298_ZeroInitializerCompression.onnx,1776,1776,0,3322,3322,0,19,19,0,0
task299,outputs\reference_6275_flat\task299.onnx,outputs\candidates\ref6275_zero_initializer_compressed\task299_ZeroInitializerCompression.onnx,342,270,-72,2080,2149,69,8,8,1,36
task300,outputs\reference_6275_flat\task300.onnx,outputs\candidates\ref6275_zero_initializer_compressed\task300_ZeroInitializerCompression.onnx,852,852,0,4454,4454,0,14,14,0,0
task301,outputs\reference_6275_flat\task301.onnx,outputs\candidates\ref6275_zero_initializer_compressed\task301_ZeroInitializerCompression.onnx,906,906,0,3697,3697,0,11,11,0,0
task302,outputs\reference_6275_flat\task302.onnx,outputs\candidates\ref6275_zero_initializer_compressed\task302_ZeroInitializerCompression.onnx,180,180,0,4372,4372,0,4,4,0,0
task303,outputs\reference_6275_flat\task303.onnx,outputs\candidates\ref6275_zero_initializer_compressed\task303_ZeroInitializerCompression.onnx,1550,1550,0,2084,2084,0,4,4,0,0
task304,outputs\reference_6275_flat\task304.onnx,outputs\candidates\ref6275_zero_initializer_compressed\task304_ZeroInitializerCompression.onnx,271,271,0,1879,1879,0,8,8,0,0
task305,outputs\reference_6275_flat\task305.onnx,outputs\candidates\ref6275_zero_initializer_compressed\task305_ZeroInitializerCompression.onnx,1452,1452,0,1865,1865,0,4,4,0,0
task306,outputs\reference_6275_flat\task306.onnx,outputs\candidates\ref6275_zero_initializer_compressed\task306_ZeroInitializerCompression.onnx,605,605,0,4101,4101,0,31,31,0,0
task307,outputs\reference_6275_flat\task307.onnx,outputs\candidates\ref6275_zero_initializer_compressed\task307_ZeroInitializerCompression.onnx,9000,9000,0,7454,7454,0,1,1,0,0
task308,outputs\reference_6275_flat\task308.onnx,outputs\candidates\ref6275_zero_initializer_compressed\task308_ZeroInitializerCompression.onnx,593,593,0,3875,3875,0,14,14,0,0
task309,outputs\reference_6275_flat\task309.onnx,outputs\candidates\ref6275_zero_initializer_compressed\task309_ZeroInitializerCompression.onnx,90,90,0,217,217,0,1,1,0,0
task310,outputs\reference_6275_flat\task310.onnx,outputs\candidates\ref6275_zero_initializer_compressed\task310_ZeroInitializerCompression.onnx,955,955,0,3379,3379,0,17,17,0,0
task311,outputs\reference_6275_flat\task311.onnx,outputs\candidates\ref6275_zero_initializer_compressed\task311_ZeroInitializerCompression.onnx,270,270,0,479,479,0,1,1,0,0
